City,YEAR,MONTH,Air Pollutant #1
NORWICH,2025,2,20.0
NORWICH,2025,3,12.0
NORWICH,2025,4,13.0
NOTTINGHAM,2024,1,13.5
NOTTINGHAM,2024,2,15.0
NOTTINGHAM,2024,3,19.0
NOTTINGHAM,2024,4,17.0
NOTTINGHAM,2024,5,19.5
NOTTINGHAM,2024,6,14.0
NOTTINGHAM,2024,7,14.0
NOTTINGHAM,2024,8,10.5
NOTTINGHAM,2024,9,11.0
NOTTINGHAM,2024,10,11.0
NOTTINGHAM,2024,11,16.0
NOTTINGHAM,2024,12,14.0
NOTTINGHAM,2025,1,17.0
NOTTINGHAM,2025,2,25.0
NOTTINGHAM,2025,3,16.0
NOTTINGHAM,2025,4,23.0
NOTTINGHAM,2025,5,14.0
OXFORD,2024,1,11.0
OXFORD,2024,2,10.0
OXFORD,2024,3,12.0
OXFORD,2024,4,10.0
OXFORD,2024,5,13.0
OXFORD,2024,6,9.0
OXFORD,2024,7,10.0
OXFORD,2024,8,6.0
OXFORD,2024,9,7.0
OXFORD,2024,10,8.0
OXFORD,2024,11,10.0
OXFORD,2024,12,10.0
OXFORD,2025,1,13.0
OXFORD,2025,2,18.0
OXFORD,2025,3,13.0
OXFORD,2025,4,21.0
OXFORD,2025,5,10.0
OXFORD,2025,6,10.0
PLYMOUTH,2024,1,14.0
PLYMOUTH,2024,2,14.0
PLYMOUTH,2024,3,13.0
PLYMOUTH,2024,4,14.0
PLYMOUTH,2024,5,15.0
PLYMOUTH,2024,6,14.0
PLYMOUTH,2024,7,12.0
PLYMOUTH,2024,8,9.0
PLYMOUTH,2024,9,12.0
PLYMOUTH,2024,10,11.0
PLYMOUTH,2024,11,15.0
PLYMOUTH,2024,12,15.0
PLYMOUTH,2025,1,13.0
PLYMOUTH,2025,2,21.0
PLYMOUTH,2025,3,14.0
PLYMOUTH,2025,4,17.0
PLYMOUTH,2025,5,11.0
PLYMOUTH,2025,6,11.0
PLYMOUTH,2025,7,10.0
PLYMOUTH,2025,8,13.0
PLYMOUTH,2025,9,12.0
PLYMOUTH,2025,10,11.0
